Rank,Title,Score
1,Death Note,8.62
2,Shingeki no Kyojin,8.45
3,Sword Art Online,7.29
4,Fullmetal Alchemist: Brotherhood,9.22
5,One Punch Man,8.60
6,Tokyo Ghoul,7.82
7,Boku no Hero Academia,8.17
8,Steins;Gate,9.12
9,Naruto,7.89
10,No Game No Life,8.24
11,Kimi no Na wa.,9.00
12,Angel Beats!,8.17
13,Code Geass: Hangyaku no Lelouch,8.72
14,Hunter x Hunter (2011),9.11
15,Mirai Nikki,7.59
16,Boku no Hero Academia 2nd Season,8.40
17,Toradora!,8.27
18,Noragami,8.03
19,Naruto: Shippuuden,8.15
20,Re:Zero kara Hajimeru Isekai Seikatsu,8.30
21,Shingeki no Kyojin Season 2,8.40
22,Sword Art Online II,6.85
23,Ao no Exorcist,7.62
24,Shigatsu wa Kimi no Uso,8.78
25,Akame ga Kill!,7.57
26,Nanatsu no Taizai,7.96
27,Fairy Tail,7.73
28,Boku dake ga Inai Machi,8.40
29,One Piece,8.49
30,Bleach,7.80
31,Koe no Katachi,9.01
32,Kill la Kill,8.12
33,Code Geass: Hangyaku no Lelouch R2,8.91
34,Boku no Hero Academia 3rd Season,8.33
35,Kono Subarashii Sekai ni Shukufuku wo!,8.16
36,Tengen Toppa Gurren Lagann,8.67
37,Soul Eater,7.90
38,Cowboy Bebop,8.79
39,Sen to Chihiro no Kamikakushi,8.84
40,Psycho-Pass,8.39
41,Kiseijuu: Sei no Kakuritsu,8.42
42,Elfen Lied,7.58
43,Another,7.58
44,Kimetsu no Yaiba,8.67
45,Tokyo Ghoul √A,7.10
46,Ansatsu Kyoushitsu,8.13
47,Mob Psycho 100,8.49
48,Death Parade,8.21
49,Fullmetal Alchemist,8.19
50,Shokugeki no Souma,8.34
